CH	UCODE	JP	INIT	FINL	TONE	ORDR
諔	U+8AD4	cuk1	c	uk	1	1000
諕	U+8AD5	haak3	h	aak	3	1000
論	U+8AD6	leon6	l	eon	6	1000
論	U+8AD6	leon2	l	eon	2	999
論	U+8AD6	leon4	l	eon	4	998
諗	U+8AD7	sam2	s	am	2	1000
諗	U+8AD7	nam2	n	am	2	999
諗	U+8AD7	lam2	l	am	2	998
諘	U+8AD8	biu2	b	iu	2	1000
諙	U+8AD9	waa6	w	aa	6	1000
諚	U+8ADA	pin4	p	in	4	1000
諛	U+8ADB	jyu4	j	yu	4	1000
諜	U+8ADC	dip6	d	ip	6	1000
諝	U+8ADD	seoi1	s	eoi	1	1000
諝	U+8ADD	seoi2	s	eoi	2	999
諞	U+8ADE	pin4	p	in	4	1000
諞	U+8ADE	pin5	p	in	5	999
諟	U+8ADF	si6	s	i	6	1000
諠	U+8AE0	hyun1	h	yun	1	1000
諡	U+8AE1	si3	s	i	3	1000
諢	U+8AE2	wan6	w	an	6	1000
諣	U+8AE3	faa3	f	aa	3	1000
諤	U+8AE4	ngok6	ng	ok	6	1000
諤	U+8AE4	ok6		ok	6	999
諥	U+8AE5	zung3	z	ung	3	1000
諦	U+8AE6	dai3	d	ai	3	1000
諧	U+8AE7	haai4	h	aai	4	1000
諨	U+8AE8	fuk1	f	uk	1	1000
諩	U+8AE9	pou2	p	ou	2	1000
諪	U+8AEA	ting4	t	ing	4	1000
諫	U+8AEB	gaan3	g	aan	3	1000
諬	U+8AEC	kai2	k	ai	2	1000
諭	U+8AED	jyu6	j	yu	6	1000
諮	U+8AEE	zi1	z	i	1	1000
諯	U+8AEF	zyun1	z	yun	1	1000
諰	U+8AF0	saai2	s	aai	2	1000
諰	U+8AF0	si2	s	i	2	999
諱	U+8AF1	wai5	w	ai	5	1000
諲	U+8AF2	jan1	j	an	1	1000
諳	U+8AF3	am1		am	1	1000
諳	U+8AF3	ngam1	ng	am	1	999
諳	U+8AF3	am2		am	2	998
諳	U+8AF3	ngam2	ng	am	2	997
諴	U+8AF4	haam4	h	aam	4	1000
諵	U+8AF5	naam4	n	aam	4	1000
諵	U+8AF5	laam4	l	aam	4	999
諶	U+8AF6	sam4	s	am	4	1000
諷	U+8AF7	fung3	f	ung	3	1000
諸	U+8AF8	zyu1	z	yu	1	1000
諹	U+8AF9	joeng4	j	oeng	4	1000
諺	U+8AFA	jin6	j	in	6	1000
諻	U+8AFB	wong4	w	ong	4	1000
諼	U+8AFC	hyun1	h	yun	1	1000
諽	U+8AFD	gaak3	g	aak	3	1000
諾	U+8AFE	nok6	n	ok	6	1000
諾	U+8AFE	lok6	l	ok	6	999
諿	U+8AFF	cap1	c	ap	1	1000
謀	U+8B00	mau4	m	au	4	1000
謁	U+8B01	jit3	j	it	3	1000
謁	U+8B01	kit3	k	it	3	999
謂	U+8B02	wai6	w	ai	6	1000
謃	U+8B03	sing1	s	ing	1	1000
謄	U+8B04	tang4	t	ang	4	1000
謅	U+8B05	zau1	z	au	1	1000
謅	U+8B05	zau3	z	au	3	999
謆	U+8B06	sin3	s	in	3	1000
謇	U+8B07	gin2	g	in	2	1000
謇	U+8B07	hin1	h	in	1	999
謈	U+8B08	bok6	b	ok	6	1000
謉	U+8B09	kwai5	kw	ai	5	1000
謊	U+8B0A	fong1	f	ong	1	1000
謊	U+8B0A	fong2	f	ong	2	999
謋	U+8B0B	waak6	w	aak	6	1000
謌	U+8B0C	go1	g	o	1	1000
謍	U+8B0D	jing4	j	ing	4	1000
謍	U+8B0D	gwang1	gw	ang	1	999
謎	U+8B0E	mai4	m	ai	4	1000
謎	U+8B0E	mai2	m	ai	2	999
謏	U+8B0F	siu2	s	iu	2	1000
謏	U+8B0F	sau2	s	au	2	999
謐	U+8B10	mat6	m	at	6	1000
謑	U+8B11	hai5	h	ai	5	1000
謒	U+8B12	coeng1	c	oeng	1	1000
謓	U+8B13	can1	c	an	1	1000
謔	U+8B14	joek6	j	oek	6	1000
謕	U+8B15	tai4	t	ai	4	1000
謖	U+8B16	suk1	s	uk	1	1000
謗	U+8B17	pong3	p	ong	3	1000
謘	U+8B18	ci4	c	i	4	1000
謙	U+8B19	him1	h	im	1	1000
謚	U+8B1A	si3	s	i	3	1000
講	U+8B1B	gong2	g	ong	2	1000
謜	U+8B1C	jyun4	j	yun	4	1000
謝	U+8B1D	ze6	z	e	6	1000
謞	U+8B1E	hok6	h	ok	6	1000
謟	U+8B1F	tou1	t	ou	1	1000
謠	U+8B20	jiu4	j	iu	4	1000
謡	U+8B21	jiu4	j	iu	4	1000
謢	U+8B22	wu6	w	u	6	1000
謣	U+8B23	jyu4	j	yu	4	1000
謤	U+8B24	biu1	b	iu	1	1000
謥	U+8B25	cung3	c	ung	3	1000
謦	U+8B26	hing3	h	ing	3	1000
謧	U+8B27	lei4	l	ei	4	1000
謨	U+8B28	mou4	m	ou	4	1000
謩	U+8B29	mou4	m	ou	4	1000
謪	U+8B2A	soeng1	s	oeng	1	1000
謫	U+8B2B	zaak6	z	aak	6	1000
謬	U+8B2C	mau6	m	au	6	1000
謭	U+8B2D	zin2	z	in	2	1000
謮	U+8B2E	zaak3	z	aak	3	1000
謯	U+8B2F	ze1	z	e	1	1000
謰	U+8B30	lin4	l	in	4	1000
謱	U+8B31	lau4	l	au	4	1000
謱	U+8B31	lou4	l	ou	4	999
謱	U+8B31	leoi5	l	eoi	5	998
謲	U+8B32	cam3	c	am	3	1000
謳	U+8B33	au1		au	1	1000
謳	U+8B33	ngau1	ng	au	1	999
謴	U+8B34	gwan3	gw	an	3	1000
謵	U+8B35	zaap6	z	aap	6	1000
謶	U+8B36	zoek3	z	oek	3	1000
謷	U+8B37	ngou4	ng	ou	4	1000
謷	U+8B37	ou4		ou	4	999
謷	U+8B37	ngou6	ng	ou	6	998
謷	U+8B37	ou6		ou	6	997
謸	U+8B38	ngou6	ng	ou	6	1000
謸	U+8B38	ou6		ou	6	999
謹	U+8B39	gan2	g	an	2	1000
謺	U+8B3A	zip3	z	ip	3	1000
謻	U+8B3B	ji4	j	i	4	1000
謻	U+8B3B	ci2	c	i	2	999
謼	U+8B3C	fu1	f	u	1	1000
謽	U+8B3D	koeng5	k	oeng	5	1000
謾	U+8B3E	maan4	m	aan	4	1000
謾	U+8B3E	maan6	m	aan	6	999
謿	U+8B3F	zaau1	z	aau	1	1000
譀	U+8B40	ham6	h	am	6	1000
譁	U+8B41	waa1	w	aa	1	1000
譂	U+8B42	cin2	c	in	2	1000
譃	U+8B43	jyu4	j	yu	4	1000
譄	U+8B44	zang1	z	ang	1	1000
譅	U+8B45	sap1	s	ap	1	1000
譆	U+8B46	hei1	h	ei	1	1000
譇	U+8B47	zaa1	z	aa	1	1000
譈	U+8B48	deoi6	d	eoi	6	1000
證	U+8B49	zing3	z	ing	3	1000
譊	U+8B4A	naau4	n	aau	4	1000
譊	U+8B4A	laau4	l	aau	4	999
譊	U+8B4A	hiu1	h	iu	1	998
譋	U+8B4B	laan4	l	aan	4	1000
譌	U+8B4C	ngo4	ng	o	4	1000
譌	U+8B4C	o4		o	4	999
譍	U+8B4D	jing1	j	ing	1	1000
譍	U+8B4D	jing3	j	ing	3	999
譎	U+8B4E	kyut3	k	yut	3	1000
譎	U+8B4E	gwat1	gw	at	1	999
譏	U+8B4F	gei1	g	ei	1	1000
譐	U+8B50	zyun2	z	yun	2	1000
譑	U+8B51	giu2	g	iu	2	1000
譒	U+8B52	bo3	b	o	3	1000
譓	U+8B53	wai6	w	ai	6	1000
譔	U+8B54	zaan6	z	aan	6	1000
譔	U+8B54	zaan3	z	aan	3	999
譕	U+8B55	mou4	m	ou	4	1000
譖	U+8B56	zam3	z	am	3	1000
譖	U+8B56	cam3	c	am	3	999
譗	U+8B57	zaap3	z	aap	3	1000
識	U+8B58	sik1	s	ik	1	1000
識	U+8B58	zi3	z	i	3	999
譙	U+8B59	ciu4	c	iu	4	1000
譙	U+8B59	ciu3	c	iu	3	999
譚	U+8B5A	taam4	t	aam	4	1000
譛	U+8B5B	zam3	z	am	3	1000
譜	U+8B5C	pou2	p	ou	2	1000
譝	U+8B5D	sing4	s	ing	4	1000
譞	U+8B5E	hyun1	h	yun	1	1000
譟	U+8B5F	cou3	c	ou	3	1000
譠	U+8B60	taan1	t	aan	1	1000
譡	U+8B61	dong2	d	ong	2	1000
譢	U+8B62	seoi6	s	eoi	6	1000
譣	U+8B63	him2	h	im	2	1000
譤	U+8B64	gik1	g	ik	1	1000
譥	U+8B65	giu3	g	iu	3	1000
警	U+8B66	ging2	g	ing	2	1000
譧	U+8B67	zaam1	z	aam	1	1000
譨	U+8B68	nung4	n	ung	4	1000
譨	U+8B68	lung4	l	ung	4	999
譩	U+8B69	ji1	j	i	1	1000
譪	U+8B6A	oi2		oi	2	1000
譪	U+8B6A	ngoi2	ng	oi	2	999
譫	U+8B6B	zim1	z	im	1	1000
譬	U+8B6C	pei3	p	ei	3	1000
譭	U+8B6D	wai2	w	ai	2	1000
譮	U+8B6E	waa6	w	aa	6	1000
譯	U+8B6F	jik6	j	ik	6	1000
譯	U+8B6F	jik2	j	ik	2	999
議	U+8B70	ji5	j	i	5	1000
議	U+8B70	ji3	j	i	3	999
譱	U+8B71	sin6	s	in	6	1000
譲	U+8B72	joeng6	j	oeng	6	1000
譳	U+8B73	nau6	n	au	6	1000
譳	U+8B73	lau6	l	au	6	999
譴	U+8B74	hin2	h	in	2	1000
譵	U+8B75	deoi6	d	eoi	6	1000
譶	U+8B76	daap6	d	aap	6	1000
護	U+8B77	wu6	w	u	6	1000
譸	U+8B78	zau1	z	au	1	1000
譹	U+8B79	haak3	h	aak	3	1000
譺	U+8B7A	ngaai6	ng	aai	6	1000
譺	U+8B7A	aai6		aai	6	999
譻	U+8B7B	jing1	j	ing	1	1000
譼	U+8B7C	gaam1	g	aam	1	1000
譽	U+8B7D	jyu6	j	yu	6	1000
譾	U+8B7E	zin2	z	in	2	1000
譿	U+8B7F	wai6	w	ai	6	1000
讀	U+8B80	duk6	d	uk	6	1000
讀	U+8B80	dau6	d	au	6	999
讁	U+8B81	zaak6	z	aak	6	1000
讂	U+8B82	gyun3	g	yun	3	1000
讃	U+8B83	zaan3	z	aan	3	1000
讄	U+8B84	leoi5	l	eoi	5	1000
讅	U+8B85	sam2	s	am	2	1000
讆	U+8B86	wai6	w	ai	6	1000
讇	U+8B87	cim2	c	im	2	1000
讈	U+8B88	lik6	l	ik	6	1000
讉	U+8B89	wai4	w	ai	4	1000
變	U+8B8A	bin3	b	in	3	1000
讋	U+8B8B	sip3	s	ip	3	1000
讋	U+8B8B	zip3	z	ip	3	999
讌	U+8B8C	jin3	j	in	3	1000
讍	U+8B8D	ngok6	ng	ok	6	1000
讍	U+8B8D	ok6		ok	6	999
讎	U+8B8E	cau4	c	au	4	1000
讎	U+8B8E	sau4	s	au	4	999
讏	U+8B8F	wai6	w	ai	6	1000
讐	U+8B90	cau4	c	au	4	1000
讐	U+8B90	sau4	s	au	4	999
讑	U+8B91	jiu6	j	iu	6	1000
讒	U+8B92	caam4	c	aam	4	1000
讓	U+8B93	joeng6	j	oeng	6	1000
讔	U+8B94	jan2	j	an	2	1000
讕	U+8B95	laan4	l	aan	4	1000
讖	U+8B96	cam3	c	am	3	1000
讖	U+8B96	caam3	c	aam	3	999
讗	U+8B97	kwai4	kw	ai	4	1000
讘	U+8B98	zip3	z	ip	3	1000
讙	U+8B99	fun1	f	un	1	1000
讚	U+8B9A	zaan3	z	aan	3	1000
讚	U+8B9A	zaan2	z	aan	2	999
讛	U+8B9B	ngai6	ng	ai	6	1000
讛	U+8B9B	ai6		ai	6	999
讜	U+8B9C	dong2	d	ong	2	1000
讝	U+8B9D	zim1	z	im	1	1000
讞	U+8B9E	jin6	j	in	6	1000
讟	U+8B9F	duk6	d	uk	6	1000
讠	U+8BA0	gaan2 faa3 jin4 zi6 bin1	1000
计	U+8BA1	gai3	g	ai	3	1000
计	U+8BA1	gai2	g	ai	2	999
计	U+8BA1	gei3	g	ei	3	998
订	U+8BA2	ding3	d	ing	3	1000
订	U+8BA2	ding6	d	ing	6	999
订	U+8BA2	deng6	d	eng	6	998
讣	U+8BA3	fu6	f	u	6	1000
认	U+8BA4	jing6	j	ing	6	1000
认	U+8BA4	jing2	j	ing	2	999
讥	U+8BA5	gei1	g	ei	1	1000
讦	U+8BA6	kit3	k	it	3	1000
讦	U+8BA6	gai3	g	ai	3	999
讧	U+8BA7	hung6	h	ung	6	1000
讧	U+8BA7	hung3	h	ung	3	999
讨	U+8BA8	tou2	t	ou	2	1000
让	U+8BA9	joeng6	j	oeng	6	1000
讪	U+8BAA	saan3	s	aan	3	1000
讫	U+8BAB	ngat6	ng	at	6	1000
讫	U+8BAB	at6		at	6	999
讫	U+8BAB	gat1	g	at	1	998
讬	U+8BAC	tok3	t	ok	3	1000
训	U+8BAD	fan3	f	an	3	1000
议	U+8BAE	ji5	j	i	5	1000
议	U+8BAE	ji3	j	i	3	999
讯	U+8BAF	seon3	s	eon	3	1000
记	U+8BB0	gei3	g	ei	3	1000
讱	U+8BB1	jan6	j	an	6	1000
讲	U+8BB2	gong2	g	ong	2	1000
讳	U+8BB3	wai5	w	ai	5	1000
讴	U+8BB4	au1		au	1	1000
讴	U+8BB4	ngau1	ng	au	1	999
讵	U+8BB5	geoi6	g	eoi	6	1000
讶	U+8BB6	ngaa6	ng	aa	6	1000
讶	U+8BB6	aa6		aa	6	999
讷	U+8BB7	neot6	n	eot	6	1000
讷	U+8BB7	leot6	l	eot	6	999
讷	U+8BB7	naap6	n	aap	6	998
讷	U+8BB7	laap6	l	aap	6	997
讷	U+8BB7	nat6	n	at	6	996
讷	U+8BB7	lat6	l	at	6	995
许	U+8BB8	heoi2	h	eoi	2	1000
许	U+8BB8	fu2	f	u	2	999
讹	U+8BB9	ngo4	ng	o	4	1000
讹	U+8BB9	o4		o	4	999
论	U+8BBA	leon6	l	eon	6	1000
论	U+8BBA	leon2	l	eon	2	999
论	U+8BBA	leon4	l	eon	4	998
讻	U+8BBB	hung1	h	ung	1	1000
讼	U+8BBC	zung6	z	ung	6	1000
讽	U+8BBD	fung3	f	ung	3	1000
设	U+8BBE	cit3	c	it	3	1000
访	U+8BBF	fong2	f	ong	2	1000
诀	U+8BC0	kyut3	k	yut	3	1000
证	U+8BC1	zing3	z	ing	3	1000
诂	U+8BC2	gu2	g	u	2	1000
诂	U+8BC2	gwu2	gw	u	2	999
诂	U+8BC2	gu3	g	u	3	998
诂	U+8BC2	gwu3	gw	u	3	997
诃	U+8BC3	ho1	h	o	1	1000
评	U+8BC4	ping4	p	ing	4	1000
诅	U+8BC5	zo3	z	o	3	1000
诅	U+8BC5	zo2	z	o	2	999
识	U+8BC6	sik1	s	ik	1	1000
识	U+8BC6	zi3	z	i	3	999
识	U+8BC6	hei1	h	ei	1	998
诇	U+8BC7	gwing2	gw	ing	2	999
蚂	U+8682	maa6	m	aa	6	1000
蚂	U+8682	maa1	m	aa	1	999
蚃	U+8683	hoeng2	h	oeng	2	1000
蚄	U+8684	fong1	f	ong	1	1000
蚅	U+8685	ak1		ak	1	1000
蚅	U+8685	ngak1	ng	ak	1	999
蚆	U+8686	baa1	b	aa	1	1000
蚇	U+8687	cik3	c	ik	3	1000
蚈	U+8688	hin1	h	in	1	1000
蚉	U+8689	man1	m	an	1	1000
蚊	U+868A	man1	m	an	1	1000
蚊	U+868A	man4	m	an	4	999
蚋	U+868B	jeoi6	j	eoi	6	1000
蚌	U+868C	pong5	p	ong	5	1000
蚍	U+868D	pei4	p	ei	4	1000
蚎	U+868E	jyut6	j	yut	6	1000
蚏	U+868F	jyut6	j	yut	6	1000
蚐	U+8690	gwan1	gw	an	1	1000
蚑	U+8691	kei4	k	ei	4	1000
蚒	U+8692	jim4	j	im	4	1000
蚓	U+8693	jan5	j	an	5	1000
蚔	U+8694	kei4	k	ei	4	1000
蚕	U+8695	caam4	c	aam	4	1000
蚕	U+8695	caam2	c	aam	2	999
蚖	U+8696	jyun4	j	yun	4	1000
蚗	U+8697	kyut3	k	yut	3	1000
蚘	U+8698	wui4	w	ui	4	1000
蚙	U+8699	kam4	k	am	4	1000
蚚	U+869A	kei4	k	ei	4	1000
蚛	U+869B	zung6	z	ung	6	1000
蚜	U+869C	ngaa4	ng	aa	4	1000
蚜	U+869C	aa4		aa	4	999
蚝	U+869D	ci3	c	i	3	1000
蚝	U+869D	hou4	h	ou	4	999
蚞	U+869E	muk6	m	uk	6	1000
蚟	U+869F	wong4	w	ong	4	1000
蚠	U+86A0	fan4	f	an	4	1000
蚡	U+86A1	fan4	f	an	4	1000
蚢	U+86A2	hong4	h	ong	4	1000
蚣	U+86A3	gung1	g	ung	1	1000
蚤	U+86A4	zou2	z	ou	2	1000
蚥	U+86A5	fu6	f	u	6	1000
蚦	U+86A6	jim4	j	im	4	1000
蚦	U+86A6	naam4	n	aam	4	999
蚦	U+86A6	laam4	l	aam	4	998
蚧	U+86A7	gaai3	g	aai	3	1000
蚧	U+86A7	gaai2	g	aai	2	999
蚨	U+86A8	fu4	f	u	4	1000
蚩	U+86A9	ci1	c	i	1	1000
蚪	U+86AA	dau2	d	au	2	1000
蚫	U+86AB	baau1	b	aau	1	1000
蚬	U+86AC	hin2	h	in	2	1000
蚭	U+86AD	nei4	n	ei	4	1000
蚭	U+86AD	lei4	l	ei	4	999
蚮	U+86AE	taai3	t	aai	3	1000
蚯	U+86AF	jau1	j	au	1	1000
蚰	U+86B0	jau4	j	au	4	1000
蚱	U+86B1	zaak3	z	aak	3	1000
蚱	U+86B1	zaa3	z	aa	3	999
蚲	U+86B2	ping4	p	ing	4	1000
蚳	U+86B3	ci4	c	i	4	1000
蚴	U+86B4	jau2	j	au	2	1000
蚴	U+86B4	jau1	j	au	1	999
蚴	U+86B4	jau3	j	au	3	998
蚵	U+86B5	ho4	h	o	4	1000
蚶	U+86B6	ham1	h	am	1	1000
蚷	U+86B7	geoi6	g	eoi	6	1000
蚸	U+86B8	cik1	c	ik	1	1000
蚹	U+86B9	fu6	f	u	6	1000
蚺	U+86BA	jim4	j	im	4	1000
蚺	U+86BA	naam4	n	aam	4	999
蚺	U+86BA	laam4	l	aam	4	998
蚻	U+86BB	zaat3	z	aat	3	1000
蚼	U+86BC	ngau1	ng	au	1	1000
蚼	U+86BC	au1		au	1	999
蚽	U+86BD	pei4	p	ei	4	1000
蚾	U+86BE	pei4	p	ei	4	1000
蚿	U+86BF	jin4	j	in	4	1000
蛀	U+86C0	zyu3	z	yu	3	1000
蛁	U+86C1	diu1	d	iu	1	1000
蛂	U+86C2	bit6	b	it	6	1000
蛃	U+86C3	bing2	b	ing	2	1000
蛄	U+86C4	gu1	g	u	1	1000
蛄	U+86C4	gwu1	gw	u	1	999
蛅	U+86C5	jim4	j	im	4	1000
蛅	U+86C5	zim1	z	im	1	999
蛆	U+86C6	zeoi1	z	eoi	1	1000
蛆	U+86C6	ceoi1	c	eoi	1	999
蛇	U+86C7	se4	s	e	4	1000
蛇	U+86C7	se2	s	e	2	999
蛇	U+86C7	ji4	j	i	4	998
蛈	U+86C8	tit3	t	it	3	1000
蛉	U+86C9	ling4	l	ing	4	1000
蛊	U+86CA	gu2	g	u	2	1000
蛊	U+86CA	gwu2	gw	u	2	999
蛋	U+86CB	daan6	d	aan	6	1000
蛋	U+86CB	daan2	d	aan	2	999
蛌	U+86CC	gu2	g	u	2	1000
蛌	U+86CC	gwu2	gw	u	2	999
蛍	U+86CD	jing4	j	ing	4	1000
蛎	U+86CE	lai6	l	ai	6	1000
蛏	U+86CF	cing1	c	ing	1	1000
蛐	U+86D0	kuk1	k	uk	1	1000
蛑	U+86D1	mau4	m	au	4	1000
蛒	U+86D2	gaak3	g	aak	3	1000
蛓	U+86D3	ci3	c	i	3	1000
蛔	U+86D4	wui4	w	ui	4	1000
蛕	U+86D5	wui4	w	ui	4	1000
蛖	U+86D6	mong4	m	ong	4	1000
蛗	U+86D7	fau6	f	au	6	1000
蛘	U+86D8	joeng5	j	oeng	5	1000
蛘	U+86D8	joeng4	j	oeng	4	999
蛘	U+86D8	mai5	m	ai	5	998
蛙	U+86D9	waa1	w	aa	1	1000
蛚	U+86DA	lit6	l	it	6	1000
蛛	U+86DB	zyu1	z	yu	1	1000
蛜	U+86DC	ji1	j	i	1	1000
蛝	U+86DD	haan4	h	aan	4	1000
蛞	U+86DE	kut3	k	ut	3	1000
蛞	U+86DE	kwut3	kw	ut	3	999
蛞	U+86DE	fut3	f	ut	3	998
蛟	U+86DF	gaau1	g	aau	1	1000
蛠	U+86E0	lai6	l	ai	6	1000
蛡	U+86E1	jik6	j	ik	6	1000
蛢	U+86E2	ping4	p	ing	4	1000
蛣	U+86E3	kit3	k	it	3	1000
蛤	U+86E4	gap3	g	ap	3	1000
蛤	U+86E4	gaap3	g	aap	3	999
蛤	U+86E4	haa4	h	aa	4	998
蛤	U+86E4	haa1	h	aa	1	997
蛥	U+86E5	sit6	s	it	6	1000
蛦	U+86E6	ji4	j	i	4	1000
蛧	U+86E7	mong5	m	ong	5	1000
蛨	U+86E8	mak6	m	ak	6	1000
蛩	U+86E9	kung4	k	ung	4	1000
蛪	U+86EA	kit3	k	it	3	1000
蛫	U+86EB	gwai2	gw	ai	2	1000
蛬	U+86EC	kung4	k	ung	4	1000
蛬	U+86EC	gung2	g	ung	2	999
蛭	U+86ED	zat6	z	at	6	1000
蛮	U+86EE	maan4	m	aan	4	1000
蛯	U+86EF	lou5	l	ou	5	1000
蛰	U+86F0	zat6	z	at	6	1000
蛰	U+86F0	zik6	z	ik	6	999
蛰	U+86F0	zit3	z	it	3	998
蛱	U+86F1	gaap3	g	aap	3	1000
蛲	U+86F2	jiu4	j	iu	4	1000
蛲	U+86F2	naau4	n	aau	4	999
蛲	U+86F2	laau4	l	aau	4	998
蛳	U+86F3	si1	s	i	1	1000
蛴	U+86F4	cai4	c	ai	4	1000
蛵	U+86F5	hing1	h	ing	1	1000
蛶	U+86F6	lyut6	l	yut	6	1000
蛷	U+86F7	kau4	k	au	4	1000
蛸	U+86F8	saau1	s	aau	1	1000
蛸	U+86F8	siu1	s	iu	1	999
蛹	U+86F9	jung2	j	ung	2	1000
蛺	U+86FA	gaap3	g	aap	3	1000
蛻	U+86FB	teoi3	t	eoi	3	1000
蛻	U+86FB	seoi3	s	eoi	3	999
蛼	U+86FC	ce1	c	e	1	1000
蛽	U+86FD	bui3	b	ui	3	1000
蛾	U+86FE	ngo4	ng	o	4	1000
蛾	U+86FE	o4		o	4	999
蛾	U+86FE	ngai5	ng	ai	5	998
蛾	U+86FE	ai5		ai	5	997
蛿	U+86FF	ham5	h	am	5	1000
蜀	U+8700	suk6	s	uk	6	1000
蜁	U+8701	syun4	s	yun	4	1000
蜂	U+8702	fung1	f	ung	1	1000
蜃	U+8703	san6	s	an	6	1000
蜃	U+8703	san5	s	an	5	999
蜃	U+8703	san4	s	an	4	998
蜄	U+8704	san6	s	an	6	1000
蜅	U+8705	fu2	f	u	2	1000
蜆	U+8706	hin2	h	in	2	1000
蜇	U+8707	zit3	z	it	3	1000
蜈	U+8708	ng4		ng	4	1000
蜈	U+8708	m4		m	4	999
蜉	U+8709	fau4	f	au	4	1000
蜊	U+870A	lei4	l	ei	4	1000
蜋	U+870B	long4	l	ong	4	1000
蜌	U+870C	bai6	b	ai	6	1000
蜍	U+870D	ceoi4	c	eoi	4	1000
蜍	U+870D	cyu4	c	yu	4	999
蜍	U+870D	syu4	s	yu	4	998
蜎	U+870E	jyun1	j	yun	1	1000
蜏	U+870F	jau5	j	au	5	1000
蜐	U+8710	gip3	g	ip	3	1000
蜑	U+8711	daan6	d	aan	6	1000
蜒	U+8712	jin4	j	in	4	1000
蜓	U+8713	ting4	t	ing	4	1000
蜔	U+8714	tin4	t	in	4	1000
蜕	U+8715	teoi3	t	eoi	3	1000
蜕	U+8715	seoi3	s	eoi	3	999
蜖	U+8716	wui4	w	ui	4	1000
蜗	U+8717	wo1	w	o	1	1000
蜘	U+8718	zi1	z	i	1	1000
蜙	U+8719	sung1	s	ung	1	1000
蜚	U+871A	fei2	f	ei	2	1000
蜚	U+871A	fei1	f	ei	1	999
蜛	U+871B	geoi1	g	eoi	1	1000
蜜	U+871C	mat6	m	at	6	1000
蜝	U+871D	kei4	k	ei	4	1000
蜞	U+871E	kei4	k	ei	4	1000
蜞	U+871E	kei2	k	ei	2	999
蜟	U+871F	juk6	j	uk	6	1000
蜠	U+8720	kwan5	kw	an	5	1000
蜡	U+8721	laap6	l	aap	6	1000
蜡	U+8721	zaa3	z	aa	3	999
蜢	U+8722	maang5	m	aang	5	1000
蜢	U+8722	maang2	m	aang	2	999
蜣	U+8723	goeng1	g	oeng	1	1000
蜤	U+8724	si1	s	i	1	1000
蜥	U+8725	sik1	s	ik	1	1000
蜦	U+8726	leon4	l	eon	4	1000
蜧	U+8727	lai6	l	ai	6	1000
蜨	U+8728	dip6	d	ip	6	1000
蜩	U+8729	tiu4	t	iu	4	1000
蜪	U+872A	tou1	t	ou	1	1000
蜫	U+872B	gwan1	gw	an	1	1000
蜬	U+872C	ham4	h	am	4	1000
蜭	U+872D	ham5	h	am	5	1000
蜮	U+872E	wik6	w	ik	6	1000
蜯	U+872F	pong5	p	ong	5	1000
蜰	U+8730	fei4	f	ei	4	1000
蜱	U+8731	pei4	p	ei	4	1000
蜲	U+8732	wai1	w	ai	1	1000
蜳	U+8733	deon1	d	eon	1	1000
蜴	U+8734	jik6	j	ik	6	1000
蜵	U+8735	jyun1	j	yun	1	1000
蜶	U+8736	seot1	s	eot	1	1000
蜷	U+8737	kyun4	k	yun	4	1000
蜸	U+8738	hin2	h	in	2	1000
蜹	U+8739	jeoi6	j	eoi	6	1000
蜺	U+873A	ngai4	ng	ai	4	1000
蜺	U+873A	ai4		ai	4	999
蜻	U+873B	cing1	c	ing	1	1000
蜻	U+873B	zing1	z	ing	1	999
蜼	U+873C	wai2	w	ai	2	1000
蜽	U+873D	loeng5	l	oeng	5	1000
蜾	U+873E	gwo2	gw	o	2	1000
蜾	U+873E	go2	g	o	2	999
蜿	U+873F	jyun1	j	yun	1	1000
蜿	U+873F	jyun2	j	yun	2	999
蝀	U+8740	dung1	d	ung	1	1000
蝀	U+8740	dung3	d	ung	3	999
蝁	U+8741	ok3		ok	3	1000
蝁	U+8741	ngok3	ng	ok	3	999
蝂	U+8742	baan2	b	aan	2	1000
蝃	U+8743	dai3	d	ai	3	1000
蝄	U+8744	mong5	m	ong	5	1000
蝅	U+8745	caam4	c	aam	4	1000
蝆	U+8746	me1	m	e	1	1000
蝇	U+8747	jing4	j	ing	4	1000
蝇	U+8747	jing1	j	ing	1	999
蝈	U+8748	gwok3	gw	ok	3	1000
蝈	U+8748	gok3	g	ok	3	999
蝉	U+8749	sim4	s	im	4	1000
蝉	U+8749	sim2	s	im	2	999
蝉	U+8749	sin4	s	in	4	998
蝊	U+874A	ding6	d	ing	6	1000
蝋	U+874B	laap6	l	aap	6	1000
蝌	U+874C	fo1	f	o	1	1000
蝍	U+874D	zik1	z	ik	1	1000
蝎	U+874E	hot3	h	ot	3	1000
蝎	U+874E	hit3	h	it	3	999
蝎	U+874E	kit3	k	it	3	998
蝏	U+874F	ting4	t	ing	4	1000
蝐	U+8750	mou6	m	ou	6	1000
蝐	U+8750	mui6	m	ui	6	999
蝑	U+8751	seoi1	s	eoi	1	1000
蝒	U+8752	min4	m	in	4	1000
蝓	U+8753	jyu4	j	yu	4	1000
蝔	U+8754	gaai1	g	aai	1	1000
蝕	U+8755	sik6	s	ik	6	1000
蝕	U+8755	sit6	s	it	6	999
蝖	U+8756	hyun1	h	yun	1	1000
蝗	U+8757	wong4	w	ong	4	1000
蝘	U+8758	jin2	j	in	2	1000
